date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,,,0,,0,,,,,,,,,
01/01/2015 01:00,,,0,,0,,,,,,,,,
01/01/2015 02:00,,,0,,0,,,,,,,,,
01/01/2015 03:00,,,0,,0,,,,,,,,,
01/01/2015 04:00,,,0,,0,,,,,,,,,
01/01/2015 05:00,,,0,,0,,,,,,,,,
01/01/2015 06:00,,,0,,0,,,,,,,,,
01/01/2015 07:00,,0,0,0,0,0,0,0,0,0,,,,
01/01/2015 08:00,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,,,,
01/01/2015 09:00,0.04,0.05,0.05,0.09,0.07,0.07,0.05,0.06,0.04,0.05,,,,
01/01/2015 10:00,0.09,0.1,0.06,0.12,0.13,0.13,0.11,0.13,0.07,0.11,,,,
01/01/2015 11:00,0.16,0.13,0.12,0.13,0.15,0.17,0.12,0.16,0.1,0.14,,,,
01/01/2015 12:00,0.16,0.13,0.12,0.12,0.14,0.16,0.11,0.11,0.1,0.19,,,,
01/01/2015 13:00,0.15,0.15,0.11,0.12,0.12,0.13,0.14,0.08,0.07,0.16,,,,
01/01/2015 14:00,0.12,0.18,0.14,0.1,0.09,0.11,0.13,0.07,0.05,0.13,,,,
01/01/2015 15:00,0.1,0.09,0.09,0.07,0.07,0.07,0.06,0.05,0.04,0.09,,,,
01/01/2015 16:00,0.05,0.09,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.05,,,,
01/01/2015 17:00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
01/01/2015 18:00,,0.01,0,,0,0,,,,,,,,
01/01/2015 19:00,,0.02,0,,0,0,,,,,,,,
01/01/2015 20:00,,0,0,,0,0,,,,,,,,
01/01/2015 21:00,,,0,,0,0,,,,,,,,
01/01/2015 22:00,,,0,,0,,,,,,,,,
01/01/2015 23:00,,,0,,0,,,,,,,,,
02/01/2015 00:00,,,0,,0,,,,,,,,,
02/01/2015 01:00,,,0,,0,,,,,,,,,
02/01/2015 02:00,,,0,,0,,,,,,,,,
02/01/2015 03:00,,0.01,0,,0,,,,,,,,,
02/01/2015 04:00,,0.01,0,0,0,,,,,,,,,
02/01/2015 05:00,,0,0,,0,,,,,,,,,
02/01/2015 06:00,,0.01,0,,0,,,,,,,,,
02/01/2015 07:00,0,0.02,0,0,0,0,0,0,0,0,,,,
